,Unnamed: 0,Player,Season,Team,League,Age,VORP,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
27,27,Giannis Antetokounmpo,2018-19,MIL,NBA,24,7.6,72,72,32.8,10.0,17.3,9.3,14.5,0.7,2.8,6.9,9.5,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,0.578,0.6409999999999999,0.256,0.599,0.7290000000000001,0.644
28,28,Tim Duncan,2002-03,SAS,NBA,26,7.6,81,81,39.3,8.8,17.2,8.7,16.9,0.1,0.3,5.6,7.8,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,0.513,0.517,0.273,0.515,0.71,0.564
29,29,Kevin Durant,2012-13,OKC,NBA,24,7.6,81,81,38.5,9.0,17.7,7.3,13.6,1.7,4.1,8.4,9.3,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,0.51,0.539,0.41600000000000004,0.5589999999999999,0.905,0.647
30,30,LeBron James,2006-07,CLE,NBA,22,7.6,78,78,40.9,9.9,20.8,8.6,16.8,1.3,4.0,6.3,9.0,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,0.47600000000000003,0.513,0.319,0.507,0.698,0.552
31,31,LeBron James,2011-12,MIA,NBA,27,7.6,62,62,37.5,10.0,18.9,9.1,16.5,0.9,2.4,6.2,8.1,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,0.531,0.556,0.36200000000000004,0.5539999999999999,0.7709999999999999,0.605
32,32,LeBron James,2015-16,CLE,NBA,31,7.6,76,76,35.6,9.7,18.6,8.6,14.9,1.1,3.7,4.7,6.5,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,0.52,0.573,0.309,0.551,0.731,0.588
33,33,Russell Westbrook,2014-15,OKC,NBA,26,7.6,67,67,34.4,9.4,22.0,8.1,17.7,1.3,4.3,8.1,9.8,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,0.426,0.457,0.299,0.455,0.835,0.536
34,34,Andrei Kirilenko,2003-04,UTA,NBA,22,7.5,78,78,37.1,5.3,11.9,4.4,9.4,0.9,2.6,5.0,6.4,2.9,5.2,8.1,3.1,1.9,2.8,2.8,2.2,16.5,0.44299999999999995,0.47100000000000003,0.33799999999999997,0.479,0.79,0.5589999999999999
35,35,Russell Westbrook,2017-18,OKC,NBA,29,7.5,80,80,36.4,9.5,21.1,8.3,17.0,1.2,4.1,5.2,7.1,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,0.449,0.485,0.298,0.47700000000000004,0.737,0.524
36,36,Kevin Garnett,2005-06,MIN,NBA,29,7.4,76,76,38.9,8.2,15.7,8.1,15.3,0.1,0.4,5.2,6.4,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,0.526,0.532,0.267,0.529,0.81,0.589
37,37,LeBron James,2016-17,CLE,NBA,32,7.3,74,74,37.8,9.9,18.2,8.3,13.5,1.7,4.6,4.8,7.2,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,0.5479999999999999,0.611,0.363,0.594,0.674,0.619
38,38,Nikola Jokic,2018-19,DEN,NBA,23,7.3,79,79,31.2,7.6,14.9,6.6,11.6,1.0,3.3,3.6,4.4,2.8,7.9,10.8,7.3,1.3,0.7,3.1,2.8,19.9,0.511,0.568,0.312,0.546,0.82,0.59
