Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
244,2001,NBA,2,42,SEA,Bobby Simmons,21.03,G-F,us,DePaul University,2002,2012,466,24.7,9,3.8,1.5,0.8,0.2,0.437,0.452,0.396,0.823,20.1,0.084
405,2015,NBA,1,22,CHI,Bobby Portis,20.14,F,us,University of Arkansas,2016,2019,249,20.3,10.2,6.2,1.1,0.5,0.3,0.458,0.49,0.361,0.751,9,0.085
635,2006,NBA,2,37,MIN,Bobby Jones,22.176,F,us,University of Washington,2007,2008,91,9.5,3.2,1.6,0.5,0.3,0,0.442,0.491,0.306,0.685,1.1,0.06
1014,2004,NBA,2,58,MIN,Blake Stepp,,,,Gonzaga University,,,,,,,,,,,,,,,
31,2009,NBA,1,1,LAC,Blake Griffin,20.106,F,us,University of Oklahoma,2011,2019,604,35,21.9,9,4.5,0.9,0.5,0.502,0.522,0.342,0.692,75.3,0.171
219,2011,NBA,1,7,SAC,Bismack Biyombo,18.303,C-F,cd,,2012,2019,583,20.3,4.9,6.3,0.5,0.3,1.4,0.517,0.518,0,0.571,22.9,0.093
478,2008,NBA,2,47,WAS,Bill Walker,20.266,F,us,Kansas State University,2009,2015,181,16.7,6,2.2,0.8,0.5,0.1,0.446,0.56,0.369,0.76,5,0.079
586,2004,NBA,2,45,CHA,Bernard Robinson,23.186,G-F,us,University of Michigan,2005,2007,128,14.9,4.5,2.5,1,0.9,0.1,0.417,0.434,0.161,0.786,2,0.049
588,2012,NBA,2,33,CLE,Bernard James,27.148,C,us,Florida State University,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,0.497,0.507,0,0.68,1.9,0.117
156,2004,NBA,1,28,SAS,Beno Udrih,21.36,G,si,,2005,2017,831,21.9,8.4,2.1,3.4,0.7,0.1,0.463,0.496,0.349,0.833,31.4,0.083
275,2016,NBA,1,1,PHI,Ben Simmons,19.343,G-F,au,Louisiana State University,2018,2019,160,34,16.4,8.5,7.9,1.6,0.8,0.554,0.558,0,0.583,17.5,0.154
494,2013,NBA,1,7,SAC,Ben McLemore,20.141,G,us,University of Kansas,2014,2019,368,23.7,8.8,2.5,1.1,0.7,0.2,0.417,0.466,0.353,0.783,4.6,0.025
151,2004,NBA,1,3,CHI,Ben Gordon,21.087,G,gb,University of Connecticut,2005,2015,744,27.4,14.9,2.5,2.5,0.7,0.2,0.432,0.447,0.401,0.857,33.3,0.078
883,2016,NBA,2,51,BOS,Ben Bentil,21.092,F,gh,Providence College,2017,2017,3,3.3,0,0.7,0,0,0,0,0,0,,-0.1,-0.473
365,2017,NBA,1,14,MIA,Bam Adebayo,19.344,C-F,us,University of Kentucky,2018,2019,151,21.7,8,6.5,1.9,0.7,0.7,0.55,0.561,0.136,0.728,11,0.161
1019,2005,NBA,2,52,DEN,Axel Hervelle,21.211,F,be,,,,,,,,,,,,,,,,
310,2010,NBA,1,19,BOS,Avery Bradley,19.215,G,us,University of Texas at Austin,2011,2019,522,28.7,12,3,1.8,1,0.2,0.436,0.47,0.364,0.778,14.6,0.047
403,2012,NBA,1,10,NOH,Austin Rivers,19.336,G,us,Duke University,2013,2019,484,24.6,9.2,2,2.4,0.7,0.2,0.417,0.459,0.347,0.637,9.1,0.036
499,2009,NBA,1,15,DET,Austin Daye,21.025,F,us,Gonzaga University,2010,2015,293,14.1,5.2,2.6,0.7,0.4,0.4,0.402,0.433,0.351,0.778,4.5,0.053
1072,2011,NBA,2,58,LAL,Ater Majok,23.36,F-C,sd,,,,,,,,,,,,,,,,
1098,2015,NBA,2,47,PHI,Arturas Gudaitis,22.011,C,lt,,,,,,,,,,,,,,,,
1082,2013,NBA,2,54,WAS,Arsalan Kazemi,23.072,F,ir,University of Oregon,,,,,,,,,,,,,,,
150,2007,NBA,1,27,DET,Arron Afflalo,21.261,G-F,us,"University of California, Los Angeles",2008,2018,762,27.3,10.8,2.9,1.8,0.4,0.2,0.45,0.481,0.386,0.825,33.5,0.077
1128,2018,NBA,2,55,CHO,Arnoldas Kulboka,20.173,F,lt,,,,,,,,,,,,,,,,
600,2012,NBA,1,27,MIA,Arnett Moultrie,21.228,F,us,Mississippi State University,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
871,2010,NBA,2,34,POR,Armon Johnson,21.126,G,us,"University of Nevada, Reno",2011,2012,47,8.5,3.3,1,1.2,0.2,0,0.458,0.465,0.4,0.679,-0.1,-0.015
636,2013,NBA,1,29,OKC,Archie Goodwin,18.319,G,us,University of Kentucky,2014,2017,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.022
1116,2017,NBA,1,25,ORL,Anzejs Pasecniks,21.19,C,lv,,,,,,,,,,,,,,,,
768,2001,NBA,2,48,MEM,Antonis Fotsis,20.092,F,gr,,2002,2002,28,11.4,3.9,2.2,0.4,0.3,0.4,0.404,0.432,0.304,0.85,0.1,0.017
775,2004,NBA,2,36,ORL,Antonio Burks,24.126,G,us,University of Memphis,2005,2006,81,9.7,2.3,0.6,1.3,0.4,0,0.387,0.401,0.235,0.571,0.1,0.004
542,2005,NBA,1,15,NJN,Antoine Wright,21.148,G-F,us,Texas A&M University,2006,2011,297,19.2,5.4,2.3,1,0.5,0.2,0.412,0.467,0.304,0.674,3.1,0.026
458,2008,NBA,1,14,GSW,Anthony Randolph,18.351,F,de,Louisiana State University,2009,2014,252,15.2,7.1,4.3,0.7,0.6,0.9,0.453,0.466,0.241,0.74,5.8,0.072
34,2012,NBA,1,1,NOH,Anthony Davis,19.114,F-C,us,University of Kentucky,2013,2019,466,34.6,23.7,10.5,2.1,1.4,2.4,0.517,0.533,0.314,0.795,72,0.214
